"idno","cntry","nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp","polintr","psppsgva","actrolga","psppipla","cptppola","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","vote","prtvtcgb","contplt","wrkprty","wrkorg","badge","sgnptit","pbldmn","bctprd","pstplonl","clsprty","lrscale","prtclcgb","prtdgcl","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","gincdif","freehms","hmsfmlsh","hmsacld","euftf","imsmetn","imdfetn","impcntr","imbgeco","imueclt","imwbcnt","happy","sclmeet","inprdsc","sclact","crmvct","aesfdrk","health","hlthhmp","atchctr","atcherp","rlgblg","rlgdnm","rlgdngb","rlgdgr","rlgatnd","pray","dscrgrp","ctzcntr","brncntr","livecnta","blgetmg","facntr","mocntr","vteumbgb","evpdemp","pdempyr","lvpntyr","evlvptn","lvptnyr","evmar","maryr","bthcld","nbthcld","plnftr","hhmmb","gndr","yrbrn","agea","maritalb","domicil","eisced","edagegb","eduyrs","mnactic","pdjobev","pdjobyr","emplrel","emplno","wrkctra","estsz","jbspv","njbspv","wkdcorga","iorgact","wkhct","wkhtot","nacer2","tporgwk","isco08","wrkac6m","uemp3m","uemp12m","uemp5yr","mbtru","hincsrca","hinctnta","hincfel","iincsrc","region","frprtpl","gvintcz","poltran","ifredu","ifrjob","evfredu","evfrjob","recskil","recexp","recknow","recimg","recgndr","sofrdst","sofrwrk","sofrpr","sofrprv","ppldsrv","jstprev","pcmpinj","ipcrtiv","imprich","ipeqopt","ipshabt","impsafe","impdiff","ipfrule","ipudrst","ipmodst","ipgdtim","impfree","iphlppl","ipsuces","ipstrgv","ipadvnt","ipbhprp","iprspot","iplylfr","impenv","imptrad","impfun","anweight"
21,"GB",10,5,240,6,4,6,2,3,2,3,3,7,7,9,7,6,8,8,"Not eligible to vote",NA,0,0,0,0,0,0,0,1,NA,2,NA,NA,8,6,7,6,8,NA,2,1,5,1,6,1,2,1,9,7,8,9,7,2,4,0,3,2,"No",6,8,0,NA,NA,7,5,4,0,0,0,2018,0,0,0,1,0,NA,2016,1,2016,0,NA,0,NA,4,1,1,1999,19,6,"town",2,NA,13,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"No",8,1,1,NA,"UKF",3,3,3,7,6,5,5,3,3,4,2,2,2,2,2,3,3,2,3,2,4,1,2,2,4,5,2,3,3,2,2,4,1,5,1,4,2,2,4,3,6.294326
23,"GB",30,5,120,7,6,6,1,3,3,3,2,3,8,9,3,3,3,5,"Yes",1,0,0,0,0,0,0,0,1,0,4,NA,NA,8,4,2,8,6,2,2,1,5,1,5,2,2,2,8,10,6,8,5,1,3,0,1,1,"No",8,4,1,1,1,3,6,6,0,1,1,NA,0,1,1,1,1,1994,1996,1,1996,1,2003,1,2,3,4,0,1976,42,1,"village",4,18,13,1,NA,NA,"Employee",NA,1,4,1,7,8,4,35,43,64,4,3314,0,0,NA,NA,"No",1,9,1,1,"UKK",2,1,2,9,8,4,4,4,3,1,1,2,4,1,4,5,4,4,4,3,4,1,1,1,3,5,1,1,2,4,2,2,1,5,1,3,1,1,1,2,2.6985419
41,"GB",0,5,300,6,5,7,3,2,2,2,3,4,4,6,5,6,7,NA,"Not eligible to vote",NA,0,0,0,0,0,0,NA,0,0,NA,NA,NA,8,NA,NA,5,6,4,3,1,5,1,7,2,3,3,3,7,5,8,6,2,3,0,2,2,"No",6,6,0,NA,NA,3,5,7,0,1,1,NA,0,1,1,65,0,NA,0,0,NA,0,NA,0,NA,8,3,1,2003,15,6,"suburbs",1,NA,13,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"No",2,3,1,9,"UKD",3,2,3,10,9,9,5,4,3,2,2,2,2,2,4,5,4,2,2,2,5,4,3,2,4,4,5,2,1,2,2,2,2,2,4,1,1,5,5,1,4.8359103
53,"GB",10,5,20,5,7,7,2,3,3,2,2,3,6,6,5,5,7,9,"Yes",NA,0,0,0,0,0,0,0,0,1,5,2,2,3,5,3,6,4,6,5,1,1,1,5,2,2,2,7,5,6,3,4,2,2,0,2,2,"No",6,6,1,2,2,3,7,7,0,1,1,NA,0,1,1,1,1,1973,1970,1,1973,1,1973,0,NA,0,1,1,1952,66,1,"town",6,21,16,6,1,2008,"Employee",NA,1,3,1,NA,10,10,40,50,85,2,2330,0,0,NA,NA,"Yes, previously",4,8,1,NA,"UKD",4,3,2,10,10,10,10,4,3,1,2,1,3,4,2,4,3,4,2,6,5,2,2,1,2,1,2,2,3,1,1,2,2,5,2,2,2,2,2,3,1.1678717
82,"GB",180,5,240,7,5,4,3,2,2,2,1,2,3,3,2,1,1,4,"No",NA,0,0,0,0,0,0,0,0,1,5,1,4,4,1,2,2,3,2,1,2,5,2,2,1,1,2,4,3,5,6,2,1,1,0,2,4,"Yes to some extent",6,2,1,2,5,5,6,6,0,1,1,NA,0,1,1,2,1,1983,1986,1,1986,1,1987,1,3,9,2,1,1966,52,1,"town",3,16,15,5,1,2017,"Employee",NA,1,3,1,1,8,6,38,45,85,2,3341,0,1,1,1,"Yes, previously",6,1,3,6,"UKG",2,1,1,8,5,8,7,3,3,2,1,1,1,2,2,4,4,4,4,2,5,2,4,4,5,3,2,2,5,5,2,5,3,5,2,5,2,2,2,5,2.9776936
89,"GB",360,5,360,6,5,7,3,4,2,3,1,6,7,9,5,5,4,5,"Yes",2,0,0,0,0,0,0,0,0,1,5,2,2,6,4,3,7,8,6,3,2,4,2,2,3,2,2,5,4,5,5,2,3,2,1,3,3,"No",7,5,0,NA,NA,4,5,5,1,1,0,2008,1,0,0,2,0,NA,0,0,NA,0,NA,0,NA,4,2,0,1997,21,6,"city",5,18,11,1,NA,NA,"Employee",NA,1,2,0,NA,5,5,6,6,81,2,9112,0,1,1,0,"No",1,4,2,1,"UKC",4,3,3,6,5,6,6,4,3,1,1,1,4,3,3,3,2,2,3,2,3,4,3,4,3,3,2,1,1,2,2,4,3,2,4,5,4,3,3,2,3.2577655
95,"GB",240,5,60,8,8,7,1,2,3,2,4,3,6,6,3,4,0,9,"Yes",1,1,0,0,0,1,0,1,0,1,8,1,3,3,4,3,3,4,10,4,3,5,4,1,1,1,2,8,7,4,6,5,3,3,0,1,1,"No",10,2,0,NA,NA,2,7,7,0,1,1,NA,0,1,1,2,1,1964,1966,1,1966,1,1966,1,2,3,4,0,1942,76,1,"town",7,22,17,6,1,2018,"Self-employed",1,NA,1,0,NA,9,9,37,40,59,4,2650,0,0,NA,NA,"Yes, previously",4,10,1,4,"UKJ",4,3,2,10,10,10,5,4,4,3,1,2,5,2,2,2,2,4,4,1,3,3,2,2,1,5,3,2,4,2,2,3,1,1,2,4,1,4,1,2,3.6315773
98,"GB",30,1,NA,4,5,4,2,2,2,2,1,6,8,8,6,6,3,5,"Yes",1,0,0,0,0,0,0,0,0,1,6,1,3,8,4,5,8,8,8,2,2,4,3,2,2,2,2,7,7,4,9,5,4,3,0,2,2,"No",10,4,1,1,1,9,3,1,0,1,1,NA,0,1,1,2,1,1950,1951,1,1954,1,1954,1,3,9,1,1,1934,84,5,"town",1,15,10,6,1,1994,"Employee",NA,1,4,0,NA,6,1,24,24,47,4,5223,0,0,NA,NA,"No",4,1,2,NA,"UKF",4,3,3,10,9,9,7,3,3,2,1,2,2,2,3,4,3,4,3,5,5,4,4,2,5,4,2,2,4,1,2,5,2,5,2,5,2,3,2,3,1.1400592
172,"GB",0,5,300,8,8,7,3,3,3,3,3,7,8,8,5,4,6,8,"No",NA,0,0,0,0,1,1,0,0,0,3,NA,NA,6,6,2,5,2,6,2,1,5,1,5,1,1,1,10,10,10,6,5,2,2,0,1,3,"No",2,4,0,NA,NA,1,7,7,0,0,0,2015,0,0,0,1,0,NA,1992,0,NA,0,NA,0,NA,8,1,0,1980,38,6,"city",7,20,15,1,NA,NA,"Employee",NA,1,NA,0,NA,7,4,40,40,62,4,2421,1,0,NA,NA,"Yes, previously",1,7,2,NA,"UKI",2,3,2,8,9,3,3,4,4,2,2,2,2,2,1,5,4,4,3,3,5,2,4,1,3,2,1,2,3,3,2,4,3,4,2,4,2,3,5,4,1.5742519
178,"GB",60,5,180,7,7,7,1,3,4,3,4,7,7,7,7,7,8,7,"Yes",3,1,1,1,1,1,0,1,1,1,2,2,2,8,6,4,5,7,3,2,2,4,2,7,2,2,2,8,7,7,7,5,4,3,0,1,3,"Yes to some extent",6,6,1,2,2,8,3,3,0,1,1,NA,0,1,1,1,1,1977,1972,1,1977,1,1978,1,1,3,2,0,1954,64,1,"town",7,23,18,6,1,2016,"Employee",NA,1,1,1,5,9,8,NA,55,94,2,2600,0,0,NA,NA,"No",4,6,1,4,"UKK",3,3,3,9,7,5,5,2,3,2,2,2,4,2,2,4,4,4,4,2,5,2,3,4,4,4,2,5,4,3,2,4,4,4,4,4,3,3,3,4,1.9150739
